Endpoint|"Species NCBI TaxID"|"Species ECOTOX Number"|
LC50|7176|397|
LC50|96919|4600|
LC50|96919|4600|
LC50|193532|17068|
LC50|193532|17068|
LC50|96924|30612|
LC50|96924|30612|
LC50|193532|17068|
LC50|193532|17068|
LC50|8384|1091|
LC50|338208|63|
LC50|338208|63|
LC50|1425181|16297|
LC50|150844|901|
LC50|29019|17738|
LC50|150844|901|
LC50|6772|745|
LC50|6772|745|
LC50|6772|745|
LC50|338208|63|
LC50||18429|
LC50||17879|
LC50|159741|1460|
LC50||18429|
LC50|6772|745|
LC50|159741|1460|
LC50|6772|745|
LC50|338208|63|
LC50|35525|5|
LC50|294128|52|
LC50|35525|5|
LC50|117530|2371|
LC50|294128|52|
LC50|294128|52|
LC50|221654|302|
LC50|221654|302|
LC50|221654|302|
LC50|221654|302|
LC50|221654|302|
LC50|158387|6038|
LC50|221654|302|
LC50|221654|302|
LC50|35525|5|
LC50|35525|5|
LC50|441951|18864|
LC50|304456|418|
LC50|84645|202|
LC50|59899|113|
LC50|441951|18864|
LC50|337539|308|
LC50|443752|4548|
LC50|8078|57|
LC50|8078|57|
LC50|8078|57|
LC50|8078|57|
LC50|8078|57|
LC50|7962|21|
LC50|7962|21|
LC50|7962|21|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|43700|4866|
LC50|43700|4866|
LC50|43700|4866|
LC50|43700|4866|
LC50|43700|4866|
LC50||2422|
LC50||19017|
LC50||19017|
LC50||19017|
LC50||19017|
LC50||10299|
LC50||19017|
LC50||19017|
LC50||19017|
LC50||19017|
LC50||19017|
LC50||19017|
LC50||19017|
LC50|6565|67|
LC50|6565|67|
LC50|6565|67|
LC50|6565|67|
LC50|6565|67|
LC50|7159|230|
LC50||20387|
LC50||20387|
LC50||19937|
LC50||17197|
LC50|298466|19936|
LC50||19938|
LC50|512215|19939|
LC50|7962|21|
LC50|7962|21|
LC50|7962|21|
LC50|88015|649|
LC50|136180|376|
LC50|8355|206|
LD50||18950|
LC50||212|
LC50|294128|52|
LC50|90988|1|
LC50|90988|1|
LC50|29158|385|
LC50||18421|
LD50|3079|311|
LD50|3079|311|
LD50|3079|311|
LC50||5657|
LC50|8409|5713|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|8130|2495|
LC50|8127|134|
LC50|8127|134|
LC50|7957|25|
LC50|7957|25|
LC50|7959|201|
LC50|7959|201|
LC50|7152|122|
LC50||5653|
LC50|76587|233|
LD50||18950|
LC50|6669|8|
LC50|7962|21|
LC50|6669|8|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|160499|17201|
LC50|145282|1920|
LC50|8406|9943|
LC50|8406|9943|
LC50|298395|1467|
LC50|30343|478|
LC50|45438|2353|
LC50|8404|358|
LC50|8389|765|
